n,rep,score_bf,score_h,approx_ratio,exact_match
12,54,-0.7799542060483986,-0.7799542060483988,1.0,1
12,55,-0.803479938894783,-0.8034799388947829,0.9999999999999999,1
12,56,-0.3482944621476239,-0.3482944621476239,1.0,1
12,57,-0.8423134255043113,-0.8423134255043113,1.0,1
12,58,-0.6395771910768082,-0.6234230576855275,0.9747424804751351,0
12,59,-0.8200222896386589,-0.8200222896386591,1.0,1
12,60,-0.8408255606832232,-0.8408255606832231,0.9999999999999999,1
12,61,-0.8640281227346815,-0.8572548701910392,0.9921608424941022,0
12,62,-0.6743872740635927,-0.6743872740635928,1.0,1
12,63,-0.8150560053511737,-0.8150560053511734,0.9999999999999996,1
12,64,-0.4935677519205212,-0.4252513391505642,0.8615865552315136,0
12,65,-0.7776409998087758,-0.7776409998087758,1.0,1
12,66,-0.6497070787278191,-0.6354876546089394,0.9781141000545623,0
12,67,-0.7273589524993765,-0.6770742391767208,0.9308667156018832,0
12,68,-0.8023890584250989,-0.7460392246250718,0.9297724299598145,0
12,69,-0.7464629760745815,-0.7464629760745813,0.9999999999999999,1
12,70,-0.825153317937491,-0.825153317937491,1.0,1
12,71,-0.6386189701035186,-0.6386189701035185,0.9999999999999998,1
12,72,-0.7918219556905891,-0.7918219556905889,0.9999999999999997,1
12,73,-0.5610204842613229,-0.5610204842613232,1.0,1
12,74,-0.7442485228405238,-0.7415144142896118,0.9963263500470557,0
12,75,-0.7777063208141181,-0.7777063208141181,1.0,1
12,76,-0.847146441510481,-0.8471464415104811,1.0,1
12,77,-0.7266530690250412,-0.7266530690250411,0.9999999999999999,1
12,78,-0.46049479089613377,-0.46049479089613393,1.0,1
12,79,-0.8184358705298603,-0.8184358705298603,1.0,1
12,80,-0.7304951415817692,-0.6878801100642925,0.9416628132184415,0
12,81,-0.5603696098915639,-0.560369609891564,1.0,1
12,82,-0.7727245040706,-0.7727245040705999,0.9999999999999999,1
12,83,-0.4865977209737384,-0.4865977209737385,1.0,1
12,84,-0.8696689140838281,-0.8696689140838282,1.0,1
12,85,-0.9165421552974939,-0.9165421552974939,1.0,1
12,86,-0.8581708227016526,-0.854852998541446,0.9961338418034751,0
12,87,-0.805397099742594,-0.8053970997425941,1.0,1
12,88,-0.8975977021680714,-0.8975977021680714,1.0,1
12,89,-0.8129423873460061,-0.7963104652628009,0.9795410814565801,0
12,90,-0.6835506608919946,-0.6835506608919945,0.9999999999999999,1
12,91,-0.7148339284814025,-0.6861324881956608,0.9598487996411764,0
12,92,-0.8805589445733976,-0.5875395130662149,0.6672347339005895,0
12,93,-0.8268404476172302,-0.8268404476172304,1.0,1
12,94,-0.8333387027546614,-0.82472270943369,0.9896608746329786,0
12,95,-0.843155253833414,-0.8431552538334142,1.0,1
12,96,-0.7742425545463134,-0.7742425545463133,0.9999999999999999,1
12,97,-0.7381433262721895,-0.7381433262721895,1.0,1
12,98,-0.6838275499053518,-0.5456162219533259,0.7978856979787439,0
12,99,-0.5772350662743646,-0.5772350662743646,1.0,1
14,0,-0.7317310749296636,-0.7317310749296635,0.9999999999999999,1
14,1,-0.8532216934546201,-0.8532216934546201,1.0,1
14,2,-0.6051845882925659,-0.6051845882925659,1.0,1
14,3,-0.8039164904008876,-0.7639359140378142,0.950267749398776,0
14,4,-0.407786568471691,-0.407786568471691,1.0,1
14,5,-0.8069631128326648,-0.8069631128326649,1.0,1
14,6,-0.6100843106261554,-0.5246276896832516,0.8599265389152589,0
14,7,-0.8055999692765627,-0.8055999692765626,0.9999999999999999,1
14,8,-0.6343953728805523,-0.6343953728805523,1.0,1
14,9,-0.73815103055621,-0.7341701606466942,0.9946069710063045,0
14,10,-0.8826138739840278,-0.8826138739840275,0.9999999999999997,1
14,11,-0.8724124214669541,-0.8724124214669541,1.0,1
14,12,-0.8238874718581801,-0.8238874718581801,1.0,1
14,13,-0.6569071525459534,-0.6569071525459534,1.0,1
14,14,-0.7889017359961853,-0.7889017359961853,1.0,1
14,15,-0.4728358630219485,-0.4278408464658237,0.9048400934130578,0
14,16,-0.6996322833301544,-0.6996322833301543,0.9999999999999999,1
14,17,-0.865873760541509,-0.7983816446146259,0.9220531687151783,0
14,18,-0.7221655390916164,-0.7221655390916164,1.0,1
14,19,-0.841241342136028,-0.8296702302284241,0.9862451934682345,0
14,20,-0.8670041168653266,-0.8670041168653265,0.9999999999999999,1
14,21,-0.923353757620195,-0.9233537576201952,1.0,1
14,22,-0.8325725950506541,-0.8325725950506542,1.0,1
14,23,-0.7960357092471958,-0.7868933186809112,0.9885150999382546,0
14,24,-0.8032292423127596,-0.790337407127969,0.9839499927222883,0
14,25,-0.8563355212227386,-0.8384323229068201,0.9790932433932497,0
14,26,-0.6195843118499434,-0.6195843118499436,1.0,1
14,27,-0.8597798366465856,-0.8342626767678808,0.9703212859954592,0
